enter_room_ms,avatar_sel_ms,users_no
Linux_10, 26013,37961,16
Linux_104, 23150,23150,16
Linux_109, 8455,10157,16
Linux_123, 0,0,16
Linux_140, 15557,94214,16
Linux_150, 0,0,16
Linux_170, 3957905,3957905,16
Linux_174, 9900,9900,16
Linux_179, 21488,21488,16
Linux_183, 40680,40680,16
Linux_195, 0,0,16
Linux_204, 13126,13126,16
Linux_240, 8795,47513,16
Linux_255, 60052,60052,16
Linux_301, 6198,6198,16
Linux_337, 23716,23716,16
Linux_344, 74399,74399,16
Linux_378, 6657,6657,16
Linux_423, 7378,7378,16
Linux_424, 5983,87986,16
Linux_469, 0,0,16
Linux_486, 12800,34653,16
Linux_496, 5509,13053,16
Linux_548, 60975,60975,16
Linux_552, 49525,49525,16
Linux_582, 4349,17480,16
Linux_595, 13999,53752,16
Linux_616, 11029,30125,16
Linux_627, 5818,88751,16
Linux_629, 28921,28921,16
Linux_650, 10258,32517,16
Linux_681, 5895,5895,16
Linux_713, 6180,22266,16
Linux_716, 0,0,16
Linux_750, 5942,409177,16
Linux_764, 5712,5712,16
Linux_783, 0,0,16
Linux_786, 86576,86576,16
Linux_798, 11660,39780,16
Linux_804, 11199,11199,16
Linux_815, 28841,45042,16
Linux_819, 9639,27271,16
Linux_838, 7387,7387,16
Linux_85, 30098,30098,16
Linux_86, 0,0,16
Linux_862, 25187,25187,16
Linux_893, 0,0,16
Linux_910, 0,0,16
Linux_925, 10966,10966,16
Linux_926, 13966,68155,16
Linux_956, 9810,75559,16
Linux_961, 20191,39070,16
Linux_97, 21578,92939,16
Linux_978, 85618,85618,16
Linux_99, 7653,7653,16
Linux_999, 17396,17396,16
Windows_212, 8196,8196,16
Windows_334, 11704,13815,16
Windows_356, 9193,9193,16
Windows_50, 6533,6533,16
Windows_530, 3022,6716,16
Windows_64, 14719,14719,16
Windows_690, 10773,25773,16
Windows_808, 6258,6258,16
